order_id,customer_id,product_id,order_date,quantity,price
ORDER00001,CUST000310,PROD000014,2024-02-20,1,50.50
ORDER00002,CUST000437,PROD000021,2024-11-29,5,25.25
ORDER00003,CUST000370,PROD000028,2024-04-20,4,45.75
ORDER00004,CUST000232,PROD000029,2024-04-26,4,30.25
ORDER00005,CUST000174,PROD000027,2024-08-20,4,10.25
ORDER00006,CUST000213,PROD000024,2024-02-18,3,120.50
ORDER00007,CUST000219,PROD000011,2024-12-06,3,25.25
ORDER00008,CUST000192,PROD000005,2024-12-17,4,30.25
ORDER00009,CUST000035,PROD000003,2024-02-13,1,80.75
ORDER00010,CUST000222,PROD000004,2024-07-09,2,25.25
ORDER00011,CUST000285,PROD000002,2024-10-27,5,150.50
ORDER00012,CUST000288,PROD000011,2024-12-09,1,25.25
ORDER00013,CUST000211,PROD000012,2024-12-06,4,40.25
ORDER00014,CUST000445,PROD000030,2024-01-27,3,35.50
ORDER00015,CUST000308,PROD000010,2024-06-29,1,55.75
ORDER00016,CUST000296,PROD000017,2024-04-18,2,30.75
ORDER00017,CUST000337,PROD000016,2024-04-24,1,45.25
ORDER00018,CUST000180,PROD000028,2024-10-11,3,45.75
ORDER00019,CUST000059,PROD000025,2024-05-22,5,20.25
ORDER00020,CUST000116,PROD000026,2024-08-07,5,25.50
ORDER00021,CUST000499,PROD000025,2024-11-14,5,20.25
ORDER00022,CUST000346,PROD000021,2024-10-12,1,25.25
ORDER00023,CUST000312,PROD000030,2024-12-02,3,35.50
ORDER00024,CUST000015,PROD000006,2024-05-19,0,15.50
ORDER00025,CUST000360,PROD000025,2024-06-07,3,20.25
ORDER00026,CUST000180,PROD000001,2024-04-02,2,60.25
ORDER00027,CUST000290,PROD000022,2024-07-24,1,15.75
ORDER00028,CUST000073,PROD000024,2024-11-20,1,120.50
ORDER00029,CUST000047,PROD000024,2024-09-28,2,120.50
ORDER00030,CUST000193,PROD000014,2024-08-20,3,50.50
ORDER00031,CUST000081,PROD000012,2024-06-08,3,40.25
ORDER00032,CUST000398,PROD000019,2024-11-01,1,15.50
ORDER00033,CUST000453,PROD000002,2024-03-20,2,150.50
ORDER00034,CUST000387,PROD000020,2024-01-26,1,20.25
ORDER00035,CUST000140,PROD000015,2024-12-04,4,200.50
ORDER00036,CUST000249,PROD000020,2024-08-14,4,20.25
ORDER00037,CUST000140,PROD000007,2024-09-19,1,35.50
ORDER00038,CUST000177,PROD000014,2024-02-26,3,50.50
ORDER00039,CUST000348,PROD000022,2024-10-30,4,15.75
ORDER00040,CUST000270,PROD000022,2024-06-06,1,15.75
ORDER00041,CUST000113,PROD000013,2024-11-02,1,150.75
ORDER00042,CUST000004,PROD000007,2024-06-03,2,35.50
ORDER00043,CUST000393,PROD000005,2024-05-10,3,30.25
ORDER00044,CUST000168,PROD000004,2024-01-04,4,25.25
ORDER00045,CUST000383,PROD000014,2024-03-30,2,50.50
ORDER00046,CUST000195,PROD000018,2024-12-26,2,35.50
ORDER00047,CUST000257,PROD000018,2024-12-08,3,35.50
ORDER00048,CUST000037,PROD000013,2024-01-22,4,150.75
ORDER00049,CUST000010,PROD000015,2024-02-09,3,200.50
ORDER00050,CUST000295,PROD000014,2024-10-20,4,50.50
ORDER00051,CUST000364,PROD000021,2024-08-01,3,25.25
ORDER00052,CUST000059,PROD000013,2024-01-11,3,150.75
ORDER00053,CUST000088,PROD000026,2024-11-12,4,25.50
ORDER00054,CUST000426,PROD000023,2024-07-04,1,75.75
ORDER00055,CUST000224,PROD000028,2024-02-24,2,45.75
ORDER00056,CUST000224,PROD000019,2024-07-24,5,15.50
ORDER00057,CUST000041,PROD000013,2024-06-07,3,150.75
ORDER00058,CUST000114,PROD000011,2024-03-27,1,25.25
ORDER00059,CUST000262,PROD000021,2024-02-28,5,25.25
ORDER00060,CUST000262,PROD000007,2024-06-27,3,35.50
ORDER00061,CUST000373,PROD000027,2024-11-26,2,10.25
ORDER00062,CUST000121,PROD000004,2024-03-15,3,25.25
ORDER00063,CUST000102,PROD000006,2024-11-04,2,15.50
ORDER00064,CUST000390,PROD000025,2024-12-01,1,20.25
ORDER00065,CUST000091,PROD000025,2024-11-17,4,20.25
ORDER00066,CUST000238,PROD000025,2024-10-15,5,20.25
ORDER00067,CUST000230,PROD000022,2024-10-16,0,15.75
ORDER00068,CUST000330,PROD000021,2024-11-15,3,25.25
ORDER00069,CUST000443,PROD000021,2024-06-10,2,25.25
ORDER00070,CUST000226,PROD000003,2024-08-28,4,80.75
ORDER00071,CUST000324,PROD000010,2024-05-20,5,55.75
ORDER00072,CUST000029,PROD000012,2024-09-16,1,40.25
ORDER00073,CUST000159,PROD000015,2024-08-19,1,200.50
ORDER00074,CUST000030,PROD000012,2024-05-26,1,40.25
ORDER00075,CUST000331,PROD000028,2024-02-16,5,45.75
ORDER00076,CUST000305,PROD000017,2024-07-15,4,30.75
ORDER00077,CUST000298,PROD000018,2024-01-22,0,35.50
ORDER00078,CUST000231,PROD000030,2024-10-19,2,35.50
ORDER00079,CUST000165,PROD000020,2024-08-31,5,20.25
ORDER00080,CUST000078,PROD000002,2024-08-18,1,150.50
ORDER00081,CUST000416,PROD000029,2024-06-24,1,30.25
ORDER00082,CUST000259,PROD000021,2024-03-29,1,25.25
ORDER00083,CUST000127,PROD000023,2024-08-12,4,75.75
ORDER00084,CUST000269,PROD000017,2024-11-08,2,30.75
ORDER00085,CUST000187,PROD000012,2024-05-24,4,40.25
ORDER00086,CUST000210,PROD000025,2024-06-22,5,20.25
ORDER00087,CUST000027,PROD000026,2024-11-19,3,25.50
ORDER00088,CUST000034,PROD000011,2024-02-18,5,25.25
ORDER00089,CUST000348,PROD000013,2024-05-25,3,150.75
ORDER00090,CUST000371,PROD000028,2024-12-02,5,45.75
ORDER00091,CUST000448,PROD000005,2024-06-19,1,30.25
ORDER00092,CUST000299,PROD000022,2024-03-13,3,15.75
ORDER00093,CUST000159,PROD000021,2024-12-23,4,25.25
ORDER00094,CUST000067,PROD000020,2024-12-28,1,20.25
ORDER00095,CUST000159,PROD000018,2024-07-11,3,35.50
ORDER00096,CUST000417,PROD000005,2024-12-09,5,30.25
ORDER00097,CUST000048,PROD000021,2024-12-09,4,25.25
ORDER00098,CUST000261,PROD000012,2024-01-10,3,40.25
ORDER00099,CUST000159,PROD000006,2024-04-19,3,15.50
ORDER00100,CUST000486,PROD000025,2024-09-05,2,20.25
ORDER00101,CUST000116,PROD000005,2024-03-20,1,30.25
ORDER00102,CUST000152,PROD000028,2024-02-21,5,45.75
ORDER00103,CUST000395,PROD000018,2024-09-26,1,35.50
ORDER00104,CUST000339,PROD000011,2024-11-12,2,25.25
ORDER00105,CUST000306,PROD000013,2024-03-19,2,150.75
ORDER00106,CUST000093,PROD000027,2024-12-20,5,10.25
ORDER00107,CUST000415,PROD000029,2024-03-25,4,30.25
ORDER00108,CUST000023,PROD000014,2024-07-05,2,50.50
ORDER00109,CUST000497,PROD000015,2024-11-08,3,200.50
ORDER00110,CUST000386,PROD000024,2024-08-17,2,120.50
ORDER00111,CUST000274,PROD000008,2024-06-07,4,20.75
ORDER00112,CUST000463,PROD000027,2024-04-09,3,10.25
ORDER00113,CUST000348,PROD000019,2024-08-13,4,15.50
ORDER00114,CUST000394,PROD000010,2024-07-14,5,55.75
ORDER00115,CUST000271,PROD000014,2024-03-23,0,50.50
ORDER00116,CUST000419,PROD000007,2024-11-05,2,35.50
ORDER00117,CUST000447,PROD000009,2024-01-27,4,70.75
ORDER00118,CUST000448,PROD000012,2024-10-10,1,40.25
ORDER00119,CUST000365,PROD000028,2024-09-21,1,45.75
ORDER00120,CUST000146,PROD000003,2024-03-23,3,80.75
ORDER00121,CUST000231,PROD000029,2024-09-19,2,30.25
ORDER00122,CUST000426,PROD000014,2024-02-16,0,50.50
ORDER00123,CUST000485,PROD000030,2024-04-23,4,35.50
ORDER00124,CUST000453,PROD000012,2024-01-14,4,40.25
ORDER00125,CUST000028,PROD000013,2024-09-14,3,150.75
ORDER00126,CUST000121,PROD000013,2024-02-11,3,150.75
ORDER00127,CUST000115,PROD000001,2024-06-12,1,60.25
ORDER00128,CUST000430,PROD000023,2024-11-28,3,75.75
ORDER00129,CUST000406,PROD000005,2024-03-11,1,30.25
ORDER00130,CUST000147,PROD000030,2024-08-29,0,35.50
ORDER00131,CUST000357,PROD000027,2024-03-12,4,10.25
ORDER00132,CUST000230,PROD000020,2024-01-03,1,20.25
ORDER00133,CUST000010,PROD000009,2024-04-20,2,70.75
ORDER00134,CUST000281,PROD000024,2024-11-07,5,120.50
ORDER00135,CUST000217,PROD000004,2024-05-27,2,25.25
ORDER00136,CUST000155,PROD000004,2024-01-25,2,25.25
ORDER00137,CUST000215,PROD000021,2024-11-14,4,25.25
ORDER00138,CUST000033,PROD000004,2024-09-12,5,25.25
ORDER00139,CUST000275,PROD000001,2024-11-19,5,60.25
ORDER00140,CUST000295,PROD000008,2024-03-14,3,20.75
ORDER00141,CUST000220,PROD000001,2024-11-10,3,60.25
ORDER00142,CUST000124,PROD000019,2024-08-01,2,15.50
ORDER00143,CUST000341,PROD000022,2024-02-13,5,15.75
ORDER00144,CUST000500,PROD000012,2024-02-04,5,40.25
ORDER00145,CUST000279,PROD000017,2024-09-16,5,30.75
ORDER00146,CUST000011,PROD000013,2024-08-28,1,150.75
ORDER00147,CUST000326,PROD000013,2024-07-10,3,150.75
ORDER00148,CUST000383,PROD000001,2024-07-01,1,60.25
ORDER00149,CUST000177,PROD000008,2024-12-02,1,20.75
ORDER00150,CUST000396,PROD000019,2024-06-19,2,15.50
ORDER00151,CUST000023,PROD000012,2024-10-06,3,40.25
ORDER00152,CUST000417,PROD000021,2024-03-30,4,25.25
ORDER00153,CUST000357,PROD000016,2024-11-19,2,45.25
ORDER00154,CUST000416,PROD000005,2024-02-02,4,30.25
ORDER00155,CUST000019,PROD000010,2024-04-13,1,55.75
ORDER00156,CUST000406,PROD000007,2024-01-22,3,35.50
ORDER00157,CUST000478,PROD000010,2024-09-20,4,55.75
ORDER00158,CUST000418,PROD000018,2024-08-30,3,35.50
ORDER00159,CUST000019,PROD000025,2024-11-27,2,20.25
ORDER00160,CUST000147,PROD000012,2024-01-25,3,40.25
ORDER00161,CUST000140,PROD000004,2024-07-07,4,25.25
ORDER00162,CUST000456,PROD000013,2024-08-13,4,150.75
ORDER00163,CUST000174,PROD000006,2024-09-11,4,15.50
ORDER00164,CUST000189,PROD000030,2024-09-22,3,35.50
ORDER00165,CUST000411,PROD000003,2024-08-05,1,80.75
ORDER00166,CUST000221,PROD000020,2024-04-02,5,20.25
ORDER00167,CUST000151,PROD000011,2024-02-22,1,25.25
ORDER00168,CUST000168,PROD000022,2024-05-31,3,15.75
ORDER00169,CUST000229,PROD000020,2024-08-06,2,20.25
ORDER00170,CUST000354,PROD000015,2024-06-28,4,200.50
ORDER00171,CUST000022,PROD000024,2024-06-29,5,120.50
ORDER00172,CUST000223,PROD000009,2024-11-23,1,70.75
ORDER00173,CUST000039,PROD000022,2024-11-22,4,15.75
ORDER00174,CUST000187,PROD000017,2024-12-13,2,30.75
ORDER00175,CUST000488,PROD000001,2024-03-14,0,60.25
ORDER00176,CUST000435,PROD000020,2024-12-13,4,20.25
ORDER00177,CUST000018,PROD000005,2024-02-04,2,30.25
ORDER00178,CUST000399,PROD000021,2024-07-06,3,25.25
ORDER00179,CUST000197,PROD000019,2024-01-17,5,15.50
ORDER00180,CUST000079,PROD000022,2024-08-18,0,15.75
ORDER00181,CUST000486,PROD000012,2024-07-09,4,40.25
ORDER00182,CUST000391,PROD000003,2024-10-20,2,80.75
ORDER00183,CUST000272,PROD000012,2024-07-22,3,40.25
ORDER00184,CUST000333,PROD000009,2024-05-07,1,70.75
ORDER00185,CUST000014,PROD000024,2024-04-05,4,120.50
ORDER00186,CUST000266,PROD000013,2024-10-14,1,150.75
ORDER00187,CUST000135,PROD000025,2024-05-13,4,20.25
ORDER00188,CUST000110,PROD000020,2024-05-26,4,20.25
ORDER00189,CUST000103,PROD000004,2024-03-10,1,25.25
ORDER00190,CUST000232,PROD000006,2024-08-15,1,15.50
ORDER00191,CUST000415,PROD000022,2024-06-12,3,15.75
ORDER00192,CUST000364,PROD000003,2024-10-08,5,80.75
ORDER00193,CUST000149,PROD000029,2024-06-02,2,30.25
ORDER00194,CUST000365,PROD000023,2024-12-24,2,75.75
ORDER00195,CUST000407,PROD000012,2024-09-17,2,40.25
ORDER00196,CUST000063,PROD000007,2024-03-12,2,35.50
ORDER00197,CUST000405,PROD000016,2024-01-14,3,45.25
ORDER00198,CUST000284,PROD000019,2024-07-07,4,15.50
ORDER00199,CUST000412,PROD000018,2024-03-07,5,35.50
